ID	RA	DEC	zspec	zq	id	IC	dIC	zb	zbmin	zbmax
260	102.3370250000	70.4963988889			78378	20.321	0.045	0.527	0.466	0.574
265	102.5934916667	70.4487458333			68409	20.514	0.041	0.713	0.684	0.739
266	102.4424250000	70.4555588889			70117	20.591	0.041	0.629	0.591	0.679
267	102.5493541667	70.4511033333	0.515	4	70920	20.735	0.044	0.520	0.475	0.566
268	102.3192916667	70.4010850000	0.514	4	67321	20.924	0.049	0.513	0.452	0.558
270	102.1391583333	70.3351058333			55812	24.583	0.252	0.744	0.491	2.749
273	101.0861083333	70.2260666667	0.527	3	38493	20.075	0.045	0.524	0.475	0.552
274	101.1259833333	70.0932158333			16463	20.579	0.041	0.689	0.633	0.718
275	101.1926375000	70.2209550000	1.185	2	37360	20.293	0.059	0.740	0.500	2.487
277	101.0079500000	70.2114791667			35568	20.630	0.059	0.592	0.553	0.649
278	101.0422166667	70.0787047222			14041	20.895	0.056	0.636	0.570	0.677
279	101.1780958333	70.2096633333			35552	20.300	0.037	0.612	0.558	0.656
284	101.0539125000	70.3659516667	0.648	3	61922	20.291	0.040	0.603	0.575	0.707
285	101.4345416667	70.4469908333			69370	21.158	0.052	0.573	0.507	0.626
286	101.2422458333	70.3486175000	0.714	3	59016	20.261	0.037	0.722	0.695	0.746
287	101.4608708333	70.4257888889			71330	19.519	0.024	0.503	0.469	0.552
288	101.1360750000	70.3739472222	0.538	4	63169	21.029	0.055	0.590	0.510	0.655
290	101.0896416667	70.3877944444	0.595	4	65240	21.151	0.067	0.695	0.637	0.728
293	102.1043500000	70.4172591667	0.585	4	73353	19.914	0.040	0.549	0.510	0.578
294	101.7477125000	70.5261155556			77208	20.857	0.101	0.653	0.597	0.728
295	101.9577291667	70.3346480556	0.501	3	56889	19.595	0.032	0.521	0.488	0.544
296	101.7964750000	70.4522552778	0.620	2	68640	20.343	0.045	0.615	0.567	0.660
297	102.0314291667	70.4036025000			67986	20.235	0.033	0.585	0.546	0.622
299	102.1522541667	70.4997483333			78386	20.778	0.052	0.568	0.537	0.599
300	101.8318041667	70.2815552778
